ID,Date/Time,Location,Source,User ID,Text,comprehend_sentiment,comprehend_key_phrases
0,6/15/2023 9:23,New York,Twitter,@user123,I love this product!,POSITIVE,this product
1,6/15/2023 11:45,Los Angeles,Yelp Reviews,user456,The service was terrible.,NEGATIVE,The service
2,6/15/2023 14:10,London,IMDb,moviefan789,This movie is amazing!,POSITIVE,This movie
3,6/15/2023 17:35,Toronto,Online Forum,forumuser1,I'm so disappointed with their customer support.,NEGATIVE,their customer support
4,6/16/2023 8:50,Paris,TripAdvisor,foodie22,Just had the best meal of my life!,POSITIVE,"my life, the best meal"
5,6/16/2023 10:15,San Francisco,Amazon Reviews,shopper123,The quality of this product is subpar.,NEGATIVE,"The quality, this product"
6,6/16/2023 13:40,Berlin,Spotify,musiclover456,I can't stop listening to this song. It's incredible!,POSITIVE,this song
7,6/16/2023 16:05,Sydney,Website Testimonial,testimonialuser1,Their website is so user-friendly. Love it!,POSITIVE,Their website
8,7/2/2023 9:12,New York,IMDb,user123,I loved the movie! It was fantastic!,POSITIVE,the movie
9,7/2/2023 10:45,Los Angeles,Yelp Reviews,user456,The customer service was terrible.,NEGATIVE,The customer service
10,7/2/2023 12:34,London,Goodreads,bookworm789,This book made me feel inspired. Highly recommended!,POSITIVE,"Highly, This book"
11,7/2/2023 15:21,San Francisco,Online Store,shopper789,I'm extremely disappointed with their product quality.,NEGATIVE,their product quality
12,7/2/2023 18:01,Sydney,TripAdvisor,travelenthusiast1,Just had the most amazing vacation! I can't wait to go back.,POSITIVE,the most amazing vacation
13,7/2/2023 20:45,Mumbai,Zomato,foodlover123,The food at this restaurant was awful. Never going back again!,NEGATIVE,"The food, this restaurant"
14,7/3/2023 9:17,Berlin,Spotify,musiclover789,I can't stop listening to this song. It's my new favorite!,POSITIVE,"my new favorite, this song"
15,7/3/2023 11:59,Toronto,Website Review,user789,Their website is so confusing and poorly designed.,NEGATIVE,Their website
16,7/3/2023 14:40,Orlando,Trip Report,thrillseeker1,I had an incredible experience at the theme park. So much fun!,POSITIVE,"an incredible experience, the theme park"
17,7/3/2023 17:25,Chicago,Online Store,buyer123,The product arrived damaged. Very disappointed.,NEGATIVE,The product
18,7/3/2023 20:15,Paris,Event Review,musicfan456,The concert was absolutely breathtaking. Best performance ever!,POSITIVE,"Best performance, The concert"
19,7/4/2023 8:32,Sydney,Online Chat,user1234,I had a terrible experience with their customer support.,NEGATIVE,"a terrible experience, their customer support"
20,7/4/2023 14:05,Los Angeles,IMDb,cinephile789,This movie is a masterpiece! I was blown away.,POSITIVE,"This movie, a masterpiece"
21,7/4/2023 16:35,New York,Yelp Reviews,shopper456,The customer service at this store is top-notch.,POSITIVE,"The customer service, this store"
22,7/4/2023 19:18,London,Goodreads,booklover123,I'm disappointed with the ending of this book. It fell flat.,NEGATIVE,"the ending, this book"
23,7/4/2023 21:52,San Francisco,Online Store,buyer789,The product I received was damaged. Unacceptable.,NEGATIVE,The product
24,7/5/2023 9:10,Sydney,Airline Review,traveler456,Just had the worst flight experience. Delayed and rude staff.,NEGATIVE,"Delayed and rude staff, the worst flight experience"
25,7/5/2023 12:30,Paris,TripAdvisor,traveladdict1,The hotel stay was absolutely amazing! Luxury at its finest.,POSITIVE,"Luxury, The hotel stay, its finest"
26,7/5/2023 15:45,Mumbai,Zomato,foodie789,The food at this restaurant was outstanding. Highly recommended!,POSITIVE,"Highly, The food, this restaurant"
27,7/5/2023 18:20,Berlin,Spotify,gymrat123,This playlist is my go-to for workouts. Energizing and motivating!,POSITIVE,"This playlist, my go-to, workouts"
28,7/5/2023 21:05,Toronto,Website Review,user987,I had a frustrating experience navigating through their website.,NEGATIVE,"a frustrating experience, their website"
29,7/6/2023 8:48,Orlando,Theme Park Review,thrillseeker2,The roller coaster ride was thrilling! Heart-pounding excitement!,POSITIVE,"Heart-pounding excitement, The roller coaster ride"
30,7/6/2023 11:25,Chicago,Online Store,customer123,The product I ordered never arrived. Terrible service.,NEGATIVE,"Terrible, The product"
31,7/6/2023 14:15,London,Music Review,musiclover987,I can't get enough of this band. Their music is incredible!,POSITIVE,"Their music, this band"
32,7/6/2023 17:02,Sydney,Online Chat,user7890,I had a great chat with their customer support. Helpful and friendly.,POSITIVE,"a great chat, their customer support"
33,7/9/2023 9:12,Paris,TripAdvisor,foodie123,This restaurant has the most delicious food. I can't wait to go back!,POSITIVE,"This restaurant, the most delicious food"
34,7/9/2023 11:45,Los Angeles,Online Store,shopper246,The product I purchased broke within a week. Poor quality.,NEGATIVE,"Poor, The product, a week"
35,7/9/2023 14:23,London,Goodreads,bookworm567,This book is thought-provoking and beautifully written. Highly recommended!,POSITIVE,"Highly, This book"
36,7/9/2023 17:05,New York,Retail Store,shopper7890,The customer service at this store is exceptional. They went above and beyond.,POSITIVE,"The customer service, this store"
37,7/9/2023 19:40,San Francisco,Online Helpdesk,user9876,I had a terrible experience with their technical support. No resolution.,NEGATIVE,"No resolution, a terrible experience, their technical support"
38,7/10/2023 8:50,Sydney,Event Review,musiclover7890,The live concert was electrifying! The band's energy was contagious.,POSITIVE,"The band, The live concert, energy"
39,7/10/2023 11:32,Mumbai,Zomato,foodcritic123,I'm disappointed with the food at this restaurant. It was tasteless.,NEGATIVE,"the food, this restaurant"
40,7/10/2023 14:20,Berlin,Spotify,playlistlover456,This song always puts me in a good mood. It's my go-to feel-good track!,POSITIVE,"This song, a good mood, my go-to feel-good track"
41,7/10/2023 17:15,Toronto,Website Review,user24680,The website is slow and unresponsive. Difficult to navigate.,NEGATIVE,The website
42,7/10/2023 20:02,Orlando,Theme Park Review,thrillseeker789,The roller coaster ride was exhilarating! Pure adrenaline rush!,POSITIVE,"Pure adrenaline, The roller coaster ride"
43,7/11/2023 8:40,Chicago,Online Store,buyer7890,The product I ordered arrived damaged. Very disappointed with the packaging.,NEGATIVE,"The product, the packaging"
44,7/11/2023 11:22,London,Music Review,musicfan567,I'm captivated by this band's unique sound. They're a breath of fresh air!,POSITIVE,"a breath, fresh air, this band, unique sound"
45,7/11/2023 14:18,Sydney,Online Chat,user123456,The customer support was quick to respond and resolved my issue. Impressed!,POSITIVE,"The customer support, my issue"
46,7/11/2023 17:30,Los Angeles,Yelp Reviews,foodie246,This restaurant has the best food. I highly recommend it!,POSITIVE,"This restaurant, the best food"
47,7/11/2023 20:15,London,IMDb,moviegoer789,The plot of this movie is confusing and hard to follow.,NEGATIVE,"The plot, this movie"
48,7/12/2023 9:05,New York,Gaming Forum,gamer123,I'm addicted to this game. It's so much fun!,POSITIVE,"fun, this game"
49,7/12/2023 11:45,Paris,Travel Website,traveler246,The customer service at this hotel was terrible. Avoid at all costs.,NEGATIVE,"The customer service, all costs, this hotel"
50,7/12/2023 14:30,San Francisco,Goodreads,bookworm246,This book bored me to tears. I couldn't finish it.,NEGATIVE,"This book, tears"
51,7/12/2023 17:10,Berlin,Online Store,audiophile789,I'm impressed with the sound quality of these headphones. Excellent!,POSITIVE,"the sound quality, these headphones"
52,7/13/2023 8:50,Sydney,Website Testimonial,testimonialuser2,The website design is sleek and user-friendly. Easy to navigate.,POSITIVE,The website design
53,7/13/2023 11:25,Chicago,Online Store,shopper4567,I had a terrible experience with their delivery service. Late and unprofessional.,NEGATIVE,"a terrible experience, their delivery service"
54,7/13/2023 14:05,Paris,Event Review,musiclover1234,The concert was mind-blowing! The band knows how to put on a show.,POSITIVE,"The band, The concert, a show"
55,7/13/2023 16:35,Toronto,Online Chat,user98765,I'm extremely disappointed with the customer support. No resolution.,NEGATIVE,"No resolution, the customer support"
56,7/17/2023 8:50,Paris,Hotel Review,traveler789,The hotel staff were rude and unprofessional. Terrible customer service.,NEGATIVE,"Terrible customer service, The hotel staff"
57,7/17/2023 11:32,Mumbai,Zomato,foodlover2468,The food at this restaurant was mediocre. Nothing special.,NEGATIVE,"Nothing special, The food, this restaurant"
58,7/17/2023 14:20,Berlin,Spotify,nostalgiacat123,This song always puts me in a nostalgic mood. It reminds me of good times.,POSITIVE,"This song, a nostalgic mood, good times"
59,7/17/2023 17:15,Toronto,Website Review,user12345,The website loading speed is frustratingly slow. Needs improvement.,NEGATIVE,"The website loading speed, improvement"
60,7/13/2023 19:18,Mumbai,Food Blog,foodlover246,The food at this cafe exceeded my expectations. Absolutely delicious!,POSITIVE,"The food, my expectations, this cafe"
61,7/14/2023 8:32,Los Angeles,TV Show Review,tvfan123,I'm disappointed with the ending of this TV show. It left too many unanswered questions.,NEGATIVE,"the ending, this TV show, too many unanswered questions"
62,7/14/2023 11:05,London,Music Review,musicenthusiast1,This album is a masterpiece. Every song is a work of art!,POSITIVE,"Every song, This album, a masterpiece, a work, art"
63,7/14/2023 14:40,Sydney,Website Review,user2468,The website layout is cluttered and confusing. Difficult to find information.,NEGATIVE,"The website layout, information"
64,7/14/2023 17:25,Orlando,Theme Park Review,thrillseeker3,The roller coaster at this theme park is a thrilling experience. A must-try!,POSITIVE,"A must-try, The roller coaster, a thrilling experience, this theme park"
65,7/15/2023 8:50,Chicago,Online Store,buyer1234,The product I ordered never arrived. Poor customer service.,NEGATIVE,"Poor, The product, customer"
66,7/15/2023 12:30,Paris,Art Review,artlover123,I'm in awe of this artist's talent. Their paintings are breathtaking!,POSITIVE,"Their paintings, awe, talent, this artist"
67,7/15/2023 15:45,Mumbai,Zomato,foodcritic246,The food at this restaurant was disappointing. Not worth the price.,NEGATIVE,"The food, the price, this restaurant, worth"
68,7/15/2023 18:20,Berlin,Spotify,relaxmusiclover,This playlist is perfect for relaxation. Soothing and calming!,POSITIVE,"This playlist, relaxation"
69,7/15/2023 21:05,Toronto,Website Testimonial,happyuser123,The website navigation is smooth and intuitive. I found what I needed quickly.,POSITIVE,The website navigation
70,7/16/2023 9:12,Sydney,Travel Blog,travelenthusiast2,The ride on this cruise ship was an unforgettable experience. I loved every moment!,POSITIVE,"The ride, an unforgettable experience, every moment, this cruise ship"
71,7/16/2023 11:45,Los Angeles,Online Store,shopper567,The product I received was of poor quality. It broke after a few uses.,NEGATIVE,"The product, a few uses, poor quality"
72,7/16/2023 14:23,London,Goodreads,bookworm7890,This book kept me hooked from start to finish. A captivating read!,POSITIVE,"A captivating, This book, start"
73,7/16/2023 17:05,New York,Retail Store,happyshopper1,The customer service at this store is outstanding. They truly care about their customers.,POSITIVE,"The customer service, their customers, this store"
74,7/16/2023 19:40,San Francisco,Online Helpdesk,user98765,I had a frustrating experience with their technical support. No resolution provided.,NEGATIVE,"No resolution, a frustrating experience, their technical support"
75,7/17/2023 8:50,Paris,Hotel Review,traveler789,The hotel staff were rude and unprofessional. Terrible customer service.,NEGATIVE,"Terrible customer service, The hotel staff"
76,7/17/2023 11:32,Mumbai,Zomato,foodlover2468,The food at this restaurant was mediocre. Nothing special.,NEGATIVE,"Nothing special, The food, this restaurant"
77,7/17/2023 14:20,Berlin,Spotify,nostalgiacat123,This song always puts me in a nostalgic mood. It reminds me of good times.,POSITIVE,"This song, a nostalgic mood, good times"
78,7/17/2023 17:15,Toronto,Website Review,user12345,The website loading speed is frustratingly slow. Needs improvement.,NEGATIVE,"The website loading speed, improvement"
79,6/15/2023 9:23,New York,Twitter,@user123,I love this product!,POSITIVE,this product
80,6/15/2023 11:45,Los Angeles,Yelp Reviews,user456,The service was terrible.,NEGATIVE,The service
81,6/15/2023 14:10,London,IMDb,moviefan789,This movie is amazing!,POSITIVE,This movie
82,6/15/2023 17:35,Toronto,Online Forum,forumuser1,I'm so disappointed with their customer support.,NEGATIVE,their customer support
83,6/16/2023 8:50,Paris,TripAdvisor,foodie22,Just had the best meal of my life!,POSITIVE,"my life, the best meal"
